comic_name,active_years,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Imprint,Format,Rating,Price
Fantastic Four Roast (1982),(1982),Fantastic Four Roast (1982) #1,"May 01, 1982","The Fantastic Four have a bundle of laughs with the rest of the Marvel Universe! However, someone seems keen on ruining the party…","Denys Cowan, Bill Sienkiewicz, Mike Vosburg, Gene Day","Fred Hembeck, Jim Shooter - Duplicate",Fred Hembeck, Marvel Universe, Comic,, Free
Fantastic Four: 1234 (2001 - 2002),(2001 - 2002),Fantastic Four: 1234 (2001) #3,"December 26, 2001","""Darkness & The Mole Man"" Doom has crushed another member of the Four. Alicia is trapped in the subterranean caverns of the Mole Man, with only Johnny Storm to save her. But Namor has extinguished the Human Torch-can Storm still summon the flame?!",,Grant Morrison,,, Comic, Rated T+, Free
Fantastic Four: A Death in the Family (2006),(2006),Fantastic Four: The Life Fantastic (Trade Paperback),"September 06, 2006","FOUR FANTASTIC TALES OF THE FF!
• When a doomsday weapon manufactured by Hydra turns up in the Nevada desert, there's only one man the authorities can ask to go in and defuse it: Bruce Banner! What does all of this have to do with the FF, you ask? Well, who do you think has to deal with the fallout when it all goes terribly wrong?
• It's hard to believe Reed and Sue tied the knot 40 years ago... and it certainly doesn't seem that much time has passed to Reed and Sue themselves when a special evening out gives them a chance to look over their entire life together- past, present and future!
• The Invisible Woman is dead! As Reed cradles his murdered wife, lost in grief, and Ben rampages after Sue's killer, Johnny defiantly decides to do whatever it takes- no matter the cost or consequence- to see his sister alive again. What he does will change the way the Fantastic Four look at him forever.
• It's a day of celebration and reflection in Latveria, but deep within the confines of the Latverain Embassy to America, Victor Von Doom and Reed Richards engage in a subtle battle of wits, with all of Manhattan as the playing field. What are the stakes? And can Mister Fantastic triumph when all the moves have been made in advance?
Collects FANTASTIC FOUR #533-535, FANTASTIC FOUR: THE WEDDING SPECIAL, FANTASTIC FOUR SPECIAL 2005 and FANTASTIC FOUR: A DEATH IN THE FAMILY.
152 PGS./Rated A ...$16.99",,,,,,,
Fantastic Four: First Family (2006),(2006),Fantastic Four: First Family (Trade Paperback),"November 01, 2006","For the first time, untold secrets of the Fantastic Four's earliest days are revealed! What happened the moment after Reed Richards' rocket crash-landed? What happened - to Sue Storm, to Ben Grimm, to Johnny Storm - in the days following that fateful event? An in-depth, action-packed, psychologically thrilling exploration of the FF's origin! Collects FANTASTIC FOUR: FIRST FAMILY #1-6.
144 PGS./Rated A... $15.99",,,,,,,
Fantastic Four: First Family (2006),(2006),Fantastic Four: First Family (2006) #6,"August 09, 2006","The final chapter in the FF's baptism by fire! It all comes down to the final confrontation between a fractured family and their very first arch-enemy... not to mention a base full of cosmically-irradiated monsters! Everything -- including the future of the FF -- will be decided here!
32 PGS./Rated A ...$2.99",Chris Weston,Joe Casey,, Marvel Universe, Comic, A, $2.99
Fantastic Four: First Family (2006),(2006),Fantastic Four: First Family (2006) #5,"July 05, 2006","More secrets of the FF's earliest days revealed! This issue: the Human Torch's first solo adventure (not a raging success)! Mr. Fantastic's first solo adventure (also not a raging success)! A team divided! An enemy uncovered! Plus, an army of cosmically-mutated monsters! What more could you ask for?
32 PGS./Rated A ...$2.99",Chris Weston,Joe Casey,, Marvel Universe, Comic, A, $2.99
Fantastic Four: Foes (2005),(2005),Fantastic Four: Foes (2005) #5,"June 01, 2005","The Red Ghost is back, and he's brought his super-apes with him! Red, Sue, Ben, and Johnny are face-to-face with one of their greatest foes from the past!
32 PGS./Marvel PSR ...$2.99",Cliff Rathburn,Robert Kirkman,Jim Cheung, Marvel Universe, Comic, Marvel Psr, $2.99
Fantastic Four: The End (2006 - 2007),(2006 - 2007),Fantastic Four: The End (2006) #2,"November 22, 2006","Alan Davis writes and pencils the final story of Marvel's first family! Even the strongest family can be torn apart by tragedy-and in the futuristic world of tomorrow, the members of the once-Fantastic Four are divided and vulnerable to opponents from their past. What events could have caused the FF to go their separate ways, and how does their disbanding set the stage for a conflict that will send shockwaves across the galaxy and beyond?
32 PGS./Rated T+ ...$2.99",,Stan Lee,,, Comic,, $2.99
Fantastic Four: The Legend (1996),(1996),Fantastic Four: The Legend (1996) #1,"October 01, 1996","This special tribute pays homage to the history and origin of Marvel's First Family! Delve into the past, as many of Marvel's mightiest creators explore the Fantastic Four's history as adventurers!","Carlos Pacheco, Doug Alexander Gregory, Nghia Lam","Mark Gruenwald, Stan Lee, Tom Defalco, Benny Powell",Carlos Pacheco,, Comic, All Ages, Free
Fear Itself (2010 - 2011),(2010 - 2011),Fear Itself (2010) #1,"April 06, 2011","DO YOU FEAR...TOMORROW? In this time of global anxiety, of economic turmoil and mass hysteria, Sin, the new Red Skull, has made an awesome discovery...a shameful secret that will rock the foundations of the Marvel Universe! A revelation that will divide father and son, turn friend against friend, and herald the rise of Fear personified. HE IS RETURNING...and the world has nothing to fear but FEAR ITSELF. Matt Fraction and Stuart Immonen bring fans the biggest Marvel the biggest Marvel event since CIVIL WAR!",Steve Mcniven,Stuart Immonen,,, Comic,, $3.99
Fear Itself: Fearsome Four (2011),(2011),Fear Itself: Fearsome Four (2011) #1,"June 08, 2011","FEAR ITSELF TIE-IN! FOUR MARVEL HEROES SUCCUMB TO FEAR ITSELF!Do you fear... your protectors turning on you? Man-Thing has gone mad as fear consumes the world, and Manhattan will burn. The only heroes that seek to stop him have given into fear themselves, and no one is safe! Ryan Bodenheim illustrates the dark side of the Marvel universe as a team of monstrously talented artists spotlight Fear Itself, each through the eyes of a fallen hero. Eisner Hall of Famer Michael Kaluta leads the charge, transforming Nighthawk into the most frightening vigilante you've ever seen!","Michael Kaluta, Ryan Bodenheim",Brandon Montclare,Michael Kaluta,, Comic,, $2.99
Fear Itself: The Deep (2011),(2011),Fear Itself: The Deep (2011) #4,"September 28, 2011","FEAR ITSELF TIE-IN Namor, Doctor Strange, She-Hulk & The Silver Surfer giant have battled barbarian hordes, giant monsters, and demonically- possessed sea creatures. They've faced Tyrak the Terrible, Aradnea the Sorceress, and the hideously-mutated Tiger Shark. But their greatest threat still awaits-the Worthy who has already beaten the Sub-Mariner and single-handedly ravaged New Atlantis. Would-be conqueror Attuma has become Nerkkod, Breaker of Oceans, and he intends to drown the entire world in a wave of fear! Even if Namor's courage and resolve return to him, he's no match for the fury of the Serpent's chosen!",Lee Garbett,Cullen Bunn,Lee Garbett,, Comic,, $2.99
Fear Itself: The Fearless (2011 - 2012),(2011 - 2012),Fear Itself: The Fearless (2011) #11,"March 21, 2012",Valkyrie stands alone against the terrifying power of the D.O.A. while Sin brings her Earth-shattering plans to completion! Valkyrie faces a shocking fate as the final sleeper awakens on the road to the pulse-pounding climax of THE FEARLESS!,"Paul Pelletier, Mark Bagley","Matt Fraction, Cullen Bunn, Christopher Yost",,, Comic,, $2.99
Fear Itself: The Fearless (2011 - 2012),(2011 - 2012),Fear Itself: The Fearless (2011) #4,"December 07, 2011","Sin and Crossbones attempt to crack the undersea vault of the Sub-Marine to retrieve one of The Serpent's hammers. Guest-starring the Thing and the FF, Namor the Sub-Mariner, the Thunderbolts and more!",,"Christopher Yost, Matt Fraction, Cullen Bunn",,, Comic,, $2.99
Fear Itself: The Home Front (2010),(2010),Fear Itself: The Home Front (2010) #3,"June 15, 2011","FEAR ITSELF TIE-IN! In the devastating aftermath of his battle with the escaped super-criminals, Speedball has to flee for his life from angry mobs in the grip of the Serpent's fear...but now that he knows there are pockets of resistance around the world, Speedball begins the most dangerous mission of all: to unite them. PLUS: Jimmy Woo and Atlas' adventure continues as they trek through ruins of a Nazi's war torn fortress. Anxieties are heightened as the agents are about to uncover their most perplexing mission yet!","Mike Mayhew, Elia Bonetti, Howard Chaykin","Howard Chaykin, Christos Gage, Peter Milligan",Marko Djurdjevic,, Comic,, $3.99
Fear Itself: The Home Front (2010),(2010),Fear Itself: The Home Front (2010) #2,"May 04, 2011","FEAR ITSELF TIE-IN! As the effects of The Serpent spread among the populace, Speedball is in the most hostile territory imaginable...Stamford, Connecticut, whose people blame him for six hundred deaths. And it's about to get worse, as he must go up against one of the Serpent's elite vanguard alone! Jimmy Woo's journey to uncover an international conspiracy takes him and the Agents of Atlas to Europe and a descent into universal intrigue where if the voyage doesn't kill them, what they find there will! More explosive and heart-wrenching tales from across the globe as the entire Marvel Universe quakes from Fear Itself!","Mike Mayhew, Elia Bonetti, Howard Chaykin","Christos Gage, Peter Milligan, Howard Chaykin",,, Comic,, $3.99
Fear Itself: Youth in Revolt (2011),(2011),Fear Itself: Youth in Revolt (2011) #5,"September 21, 2011","The end is nigh. As the world falls apart around our heroes, will they run away? Freeze up? Lose their minds? Or will they stand their ground and remain strong to the end? (And, yes, that's CLOUD 9's new costume! Pretty spiff, right?)",Giuseppe Camuncoli,Sean Mckeever,,, Comic,, $2.99
Fear Itself: Youth in Revolt (2011),(2011),Fear Itself: Youth in Revolt (2011) #2,"June 15, 2011","FEAR ITSELF TIE-IN! WE NEED YOU FOR THE INITIATIVE! With the Initiative draft in full swing, young heroes are joining the effort to stem the Serpent's fearful tide...whether they want to or not! With Thor-Girl wrongfully imprisoned, her fellow Initiative recruits face a rising wave of paranoia and distrust from the very citizens they are meant to protect. And does Prodigy, reformed alcoholic and now deputized Initiative head, have what it takes to lead...or will he, too, fall prey to the coming darkness?",Mike Norton,Sean Mckeever,Giuseppe Camuncoli,, Comic,, $2.99
